skuId,productId,brandName,productName,listPrice,salePrice,rating,reviews,imageUrl,url,isNew,isLimitedEdition,isSephoraExclusive
2868768,P516173,MAKE UP FOR EVER,Artist Color Crayon Waterproof Multi-Use Stick,35.0,,4.7069,481,https://www.sephora.com/productimages/sku/s2868768-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/artist-color-crayon-P516173?skuId=2868768,False,False,False
2798239,P468353,Danessa Myricks Beauty,"Colorfix - Multi-Use Eye, Cheek & Lip Waterproof Liquid Pigment",22.0,,4.5284,299,https://www.sephora.com/productimages/sku/s2798239-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/danessa-myricks-colorfix-24-hour-cream-color-P468353?skuId=2798239,False,False,False
2911725,P518695,MERIT,The Archival Lip Essentials Gift Set,52.0,,4.7931,29,https://www.sephora.com/productimages/sku/s2911725-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/the-archival-set-P518695?skuId=2911725,True,True,True
2589653,P501181,Urban Decay,Vice Lip Bond Glossy Longwear Liquid Lipstick,28.0,,4.3657,2010,https://www.sephora.com/productimages/sku/s2589653-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/vice-lip-bond-longwear-liquid-lipstick-P501181?skuId=2589653,False,False,False
2717965,P504802,Glossier,Generation G Sheer Matte Lipstick,20.0,,3.1839,397,https://www.sephora.com/productimages/sku/s2717965-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/glossier-generation-g-sheer-matte-lipstick-P504802?skuId=2717965,False,False,False
2892198,P518018,Bobbi Brown,Luxe Cashmere Matte Lipstick,45.0,,4.7012,164,https://www.sephora.com/productimages/sku/s2892198-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/bobbi-brown-luxe-cashmere-matte-lipstick-P518018?skuId=2892198,True,False,False
2564359,P411848,ILIA,Multi-Stick Cream Blush + Highlighter + Lip Tint,36.0,,4.129,2248,https://www.sephora.com/productimages/sku/s2564359-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/multi-stick-P411848?skuId=2564359,False,False,False
2907566,P518476,Fenty Beauty by Rihanna,Icon Velvet Liquid Lipstick,29.0,14.5,3.8,5,https://www.sephora.com/productimages/sku/s2907566-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/icon-velvet-liquid-lipstick-P518476?skuId=2907566,False,True,False
2458800,P468398,PAT McGRATH LABS,LiquiLUST™: Legendary Wear Matte Lipstick,34.0,,4.5165,606,https://www.sephora.com/productimages/sku/s2458800-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/pat-mcgrath-labs-liquidlust-legendary-wear-matte-lipstick-P468398?skuId=2458800,False,False,True
2762177,P510516,Tatcha,The Kissu Lip Tint SPF 25 Hydrating Tinted Lip Sunscreen,34.0,,4.3149,397,https://www.sephora.com/productimages/sku/s2762177-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/tatcha-the-kissu-lip-tint-spf-25-hydrating-tinted-lip-sunscreen-P510516?skuId=2762177,False,False,False
2855351,P515447,ISAMAYA,Lips Metal- Sheer Metallic Balm,32.0,,3.697,33,https://www.sephora.com/productimages/sku/s2855351-main-zoom.jpg?imwidth=270,https://www.sephora.com/product/lips-metal-sheer-metallic-balm-P515447?skuId=2855351,False,False,True
2864338,P515465,VIOLETTE_FR,BISOU JELLY Sheer Shine Hydrating Lipstick,29.0,,4.2857,273,https://www.sephora.com/productimages/sku/s2864338-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/bisou-jelly-sheer-shine-lipstick-P515465?skuId=2864338,False,False,True
2654986,P503938,LYS Beauty,Speak Love Moisture Matte Lipstick,20.0,,4.5563,160,https://www.sephora.com/productimages/sku/s2654986-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/lys-beauty-speak-love-lipstick-collection-P503938?skuId=2654986,False,False,False
2847580,P515726,BASMA,The High-Pigment Blurring Gloss Balm,26.0,,4.7594,187,https://www.sephora.com/productimages/sku/s2847580-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,https://www.sephora.com/product/the-high-pigment-blurring-gloss-balm-P515726?skuId=2847580,False,False,True
